Timestamp,Type,MMSI,NavigationStatus,TurnRate,SpeedOverGround,PositionAccuracy,Latitude,Longitude,COG,Heading,ROT,ManeuverIndicator
2023-05-25 13:22:51.029616,1,419000667,<NavigationStatus.UnderWayUsingEngine: 0>,<TurnRate.NO_TI_LEFT: -127.0>,13.4,False,72.84205,18.84017,306.5,306,25,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:49.189820,1,419000667,<NavigationStatus.UnderWayUsingEngine: 0>,<TurnRate.NO_TI_LEFT: -127.0>,13.5,False,72.84215,18.840093,308.3,307,23,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:51.799531,1,419001717,<NavigationStatus.UnderWayUsingEngine: 0>,<TurnRate.NO_TI_DEFAULT: -128.0>,3.5,True,72.708988,19.050762,352,511,25,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:10.763317,1,419001717,<NavigationStatus.UnderWayUsingEngine: 0>,<TurnRate.NO_TI_DEFAULT: -128.0>,3.8,True,72.708988,19.050043,358.9,511,44,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:53.479339,1,419000337,<NavigationStatus.UnderWayUsingEngine: 0>,<TurnRate.NO_TI_DEFAULT: -128.0>,6.7,False,72.847608,18.91206,210.1,511,60,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:51.429518,1,419000337,<NavigationStatus.UnderWayUsingEngine: 0>,<TurnRate.NO_TI_DEFAULT: -128.0>,6.7,False,72.847665,18.912132,207.7,511,60,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:59.668838,1,419001331,<NavigationStatus.UnderWayUsingEngine: 0>,<TurnRate.NO_TI_DEFAULT: -128.0>,3,False,72.873688,18.851545,107.5,511,34,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:50.759616,1,419001331,<NavigationStatus.UnderWayUsingEngine: 0>,<TurnRate.NO_TI_DEFAULT: -128.0>,3.5,False,72.87356,18.851593,106.5,511,25,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:23:03.508468,1,419001473,<NavigationStatus.Moored: 5>,0,8.9,False,72.875092,18.928688,260.1,257,60,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:54.549235,1,419001473,<NavigationStatus.Moored: 5>,0,8.9,False,72.875477,18.928753,260.7,258,60,<ManeuverIndicator.NotAvailable: 0>
